Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41755,3:18-cv-00328-wmc                       ,wmc,2018-05-04,,2018-05-07,555,2018-05-04,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-05-04
41754,3:18-cv-00331-jdp                       ,jdp,2018-05-07,,2019-04-23,550,2018-05-07,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2017-07-31
41756,3:18-cv-00332-wmc                       ,wmc,2018-05-07,,2022-07-28,550,2018-05-07,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-05-07
41758,3:18-cv-00333-jdp                       ,jdp,2018-05-07,,2019-11-25,555,2018-05-07,Prisoner Petitions,17,cmp                      ,1,cmp                      ,cmp     ,18,2018-05-07
41764,3:18-cv-00340-jdp                       ,jdp,2018-05-08,,2019-06-04,555,2018-05-08,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-05-08
41765,3:18-cv-00341-wmc                       ,wmc,2018-05-08,,2022-11-07,555,2018-05-08,Prisoner Petitions,14,cmp                      ,1,cmp                      ,cmp     ,15,2018-05-08
41769,3:18-cv-00343-wmc                       ,wmc,2018-05-09,,2018-06-20,550,2018-05-09,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-05-09
41798,3:18-cv-00347-jdp                       ,jdp,2018-05-10,,2019-01-24,440,2018-05-10,Civil Rights,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-05-10
41802,3:18-cv-00348-wmc                       ,wmc,2018-05-11,,2018-06-11,550,2018-05-11,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-05-11
41807,3:18-cv-00350-wmc                       ,wmc,2018-05-14,,2020-10-01,555,2018-05-14,Prisoner Petitions,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-05-14
41808,3:18-cv-00351-jdp                       ,jdp,2018-05-14,,2018-07-16,440,2018-05-14,Civil Rights,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-05-14
41810,3:18-cv-00352-bbc                       ,bbc,2018-05-14,,2018-07-09,550,2018-05-14,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-05-14
41809,3:18-cv-00353-bbc                       ,bbc,2018-05-14,,2018-06-07,440,2018-05-14,Civil Rights,9,cmp                      ,1,cmp                      ,cmp     ,10,2017-09-01
41816,3:18-cv-00356-wmc                       ,wmc,2018-05-15,,2018-06-11,555,2018-05-15,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-05-15
41821,3:18-cv-00360-slc                       ,slc,2018-05-15,,2022-03-28,555,2018-05-15,Prisoner Petitions,15,cmp                      ,1,cmp                      ,cmp     ,16,2018-05-15
41828,3:18-cv-00362-jdp                       ,jdp,2018-05-16,,2019-01-15,555,2018-05-16,Prisoner Petitions,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-05-16
41832,3:18-cv-00370-jdp                       ,jdp,2018-05-17,,2019-12-06,555,2018-05-17,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-05-17
41834,3:18-cv-00372-wmc                       ,wmc,2018-05-17,,2018-11-26,555,2018-05-17,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-05-17
41835,3:18-cv-00373-bbc                       ,bbc,2018-05-17,,2018-10-03,555,2018-05-17,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-05-17
41836,3:18-cv-00374-bbc                       ,bbc,2018-05-17,,2018-07-16,555,2018-05-17,Prisoner Petitions,24,cmp                      ,1,cmp                      ,cmp     ,25,2018-05-17
41838,3:18-cv-00368-jdp                       ,jdp,2018-05-17,,2020-11-12,440,2018-05-17,Civil Rights,49,cmp                      ,1,cmp                      ,cmp     ,50,2018-05-17
41850,3:18-cv-00381-wmc                       ,wmc,2018-05-18,2018-07-20,2021-11-19,555,2018-07-20,Prisoner Petitions,29,cmp                      ,1,cmp                      ,cmp     ,30,2018-05-18
41851,3:18-cv-00382-wmc                       ,wmc,2018-05-18,,2019-05-14,550,2018-05-18,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-05-18
41849,3:18-cv-00385-jdp                       ,jdp,2018-05-21,,2019-12-10,550,2018-05-21,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-05-21
41853,3:18-cv-00386-jdp                       ,jdp,2018-05-21,,2019-08-23,550,2018-05-21,Prisoner Petitions,20,cmp                      ,1,cmp                      ,cmp     ,21,2018-05-21
41854,3:18-cv-00387-wmc                       ,wmc,2018-05-21,,2018-07-09,555,2018-05-21,Prisoner Petitions,3,cmp                      ,1,cmp                      ,cmp     ,4,2018-05-21
41861,3:18-cv-00389-wmc                       ,wmc,2018-05-21,,2021-07-09,555,2018-05-21,Prisoner Petitions,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-05-21
41864,3:18-cv-00393-bbc                       ,bbc,2018-05-22,,2018-11-26,555,2018-05-22,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-05-22
41875,3:18-cv-00396-jdp                       ,jdp,2018-05-23,,2020-02-25,550,2018-05-23,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-05-23
41876,3:18-cv-00397-jdp                       ,jdp,2018-05-24,,2018-12-18,555,2018-05-24,Prisoner Petitions,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-02-19
41877,3:18-cv-00398-jdp                       ,jdp,2018-05-24,2018-10-31,2018-12-18,555,2018-10-31,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-03-02
41878,3:18-cv-00399-jdp                       ,jdp,2018-05-24,,2018-12-18,550,2018-05-24,Prisoner Petitions,15,cmp                      ,1,cmp                      ,cmp     ,16,2017-12-12
41896,3:18-cv-00411-wmc                       ,wmc,2018-05-29,,2019-11-22,550,2018-05-29,Prisoner Petitions,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-05-29
41901,3:18-cv-00412-bbc                       ,bbc,2018-05-29,,2019-10-24,550,2018-05-29,Prisoner Petitions,21,cmp                      ,1,cmp                      ,cmp     ,22,2018-05-29
41926,3:18-cv-00417-bbc                       ,bbc,2018-05-31,2018-10-17,2019-10-30,190,2018-10-17,Contract,10,cmp                      ,1,cmp                      ,cmp     ,11,2018-05-31
41940,3:18-cv-00422-bbc                       ,bbc,2018-06-01,,2019-12-11,550,2018-06-01,Prisoner Petitions,17,cmp                      ,1,cmp                      ,cmp     ,18,2018-06-01
